Titre,Descriptif,Description,Prix,Categorie,Etiquette,Lien
"""E-muet""","""Poids: 0.250 KG
Dimensions: 32 × 32 CM
Artiste: NOÉMIE HONEIN
Pays: LIBAN / LEBANON
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Edition limitée à 50 exemplaires.
Format 32 x 32cm.
Impression pigmentaire sur Canson Edition Etching Rag 310 gr.
Accompagné d’un certificat d’authenticité numéroté et signé à la main par l’Artiste.
Noémie a réalisé ce dessin lors de son expo intitulé E-muet à Toulouse en Mars 2018
Elle avait alors représenté plusieurs artistes femmes ( Beyoncé , Yasmine Hamdan ou encore Jane) en commençant ses dessins avec une consigne simple : dessiner une femme sur un papier blanc et faire léviter un monde autour d’elle.
Le dessin est alors un mélange de petits détails plus ecis les uns que les autres  magnifié par une explosion de couleurs au service de toutes les femmes musiciennes , chanteuses ou simplement Femmes.""","""60""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/emuet/"""
"""Eternal Expectation""","""Poids: 0.3 KG
Dimensions: 40 × 50 CM
Artiste: JAWHER SOUDANI
Pays: TUNISIE / TUNISIA
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Edition limitée à 50 exemplaires.
Format 40 x 50 cm.
Impression pigmentaire sur Canson Edition Etching Rag 310 gr.
Accompagné d’un certificat d’authenticité numéroté et signé à la main par l’Artiste Vajo.
Eternal Expectation , un dessin inspiré de la Nature.
L’homme y est représenté dans une forme polymorphe avec une tête de fleur, symbole de paix et de tolérance, en opposition avec l’action dans laquelle il s’engage. Un conflit avec l’autre, peut-être avec lui même, qui possède ce qu’il désire. Jawher aime nous pousser à réfléchir et porter un regard différent sur certaines situations de la vie.""","""120""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/eternal-expectation/"""
"""Frog Island""","""Dimensions: 30 × 50 CM
Artiste: MAHMOUD
Pays: ALGÉRIE / ALGERIA
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Edition limitée à 50 exemplaires.
Format 30 x 50 cm.
Impression pigmentaire sur Canson Edition Etching Rag 310 gr.
Dessin numéroté et signé à la main par l’Artiste.
Accompagné d’un certificat d’authenticité.
Edition limitée à 50 exemplaires.
Format 30 x 50 cm.
Impression pigmentaire sur Canson Edition Etching Rag 310 gr.""
Dessin numéroté et signé à la main par l’Artiste.
Accompagné d’un certificat d’authenticité.","""90""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/frog-island/"""
"""From the Far East to the Mid East""","""Poids: 0.3 KG
Dimensions: 29.7 × 42 CM
Artiste: TRACY CHAHWAN
Pays: LIBAN / LEBANON
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Designed by Lebanese artist Tracy Chahwan, this illustration focuses on music visuals for bands, record labels and underground music collectives""
","""75""","""ILLUSTRATIONS""","""LEBANON, PIGMENT INK, TRACY CHAHWAN"""," ""https://www.artforness.com/produit/from-the-far-east-to-the-mid-east/"""
"""Hide and Seek""","""Dimensions: 29.7 × 42 CM
Artiste: ATELIER GLIBETT, NOHA HABAIEB
Pays: TUNISIE / TUNISIA
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Edition limitée à 50 exemplaires.
Format 29.7 x 42 cm.
Impression pigmentaire sur Canson Edition Etching Rag 310 gr.
Dessin numéroté et signé à la main par l’Artiste.
Accompagné d’un certificat d’authenticité.
Hide and Seek , un dessin tout en délicatesse peignant la fragilité de la nature et ses aspirations.
Noha Habaieb a su exprimer à travers ce dessin et le jeu de cache cache toute la sensibilité de l’être et la fragilité de la nature.""","""80""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/hide-and-seek/"""
"""Kho""","""Poids: 0.500 KG
Dimensions: 21 × 29.7 CM
Artiste: WALID BOUCHOUCHI
Pays: ALGÉRIE / ALGERIA
Technique: LINOGRAVURE""","""Edition limitée à 30 exemplaires.
Format 21 x 29.7cm.
Linogravure sur du papier d’art 310 gr.
Numéroté et signé à la main par l’Artiste.
Kho est le titre de la linogravure et le nom du personnage phare créé par l’artiste Walid Bouchouchi. C’est aussi le nom par lequel on s’interpelle dans les rues d’Alger et en Afrique du nord de manière générale. Kho est l’archétype du jeune qui déambule dans la rue à la recherche de nouveauté et de piments dans sa vie.""","""45""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/kho/"""
"""LAB619 N°10""","""Poids: 0.600 KG
Dimensions: 27 × 20 CM
Artiste: LAB619
Pays: TUNISIE / TUNISIA""","""Dans ce numéro 10 , vous trouverez ce que vous vous voudrez bien y mettre.
Relâchez-vous, lâchez votre imagination, laissez vous aller , lisez en réinventant ce que vous lisez
Tasayob : a consommer sans modération.
Cette BD arabe est une véritable ode au Tassayob ou à la liberté de faire ce qui nous plait.
Dans ce dixième numéro de BD arabe, le collectif a décidé d’offrir à ses auteurs la possibilité de laisser libre cours à leur inspiration du moment, mais aussi vous offrir un des plus beaux numéros qu’ils ont conçus.""","""18""","""LIVRES""","""BASIC"""," ""https://www.artforness.com/produit/lab619-n10/"""
"""LAB619 N°6""","""Poids: 0.350 KG
Dimensions: 29.7 × 42 × 3 CM
Artiste: LAB619
Pays: TUNISIE / TUNISIA""","""Un numéro rare qui tends à disparaître le N 6 du LAB619 édition 2016
Dans ce numéro 6, l’équipe s’est attelée à donner sa vision de la Tunisie.
Edité en 2016 , le numéro est maintenant considéré comme une denrée rare, puisqu’il n’en reste plus qu’une dizaine dans le monde et nous en détenons 5.
Alors qu’attendez-vous pour compléter votre collection, en effet les numéros du Lab619 sont toujours imprimés en quantité limitée.""","""8""","""LIVRES""","""BASIC"""," ""https://www.artforness.com/produit/lab619-n6/"""
"""LAB619 N°7""","""Poids: 0.350 KG
Dimensions: 29.7 × 42 × 3 CM
Artiste: LAB619
Pays: TUNISIE / TUNISIA""","""Un numéro rare qui tends à disparaître le N 6 du LAB619 édition 2016
Dans ce numéro 6, l’équipe s’est attelée à donner sa vision de la Tunisie.
Dis-moi qu’est ce qu’une frontière?
Une question dans l’air du temps pour ce 7éme numéro du Lab619. Un numéro édité en 2017 et pourtant toujours d’actualité dans un monde où les frontières ont tendance à disparaître et sont paradoxalement plus présentes que jamais. Alors qu’attendez-vous pour compléter votre collection.""","""8""","""LIVRES""","""BASIC"""," ""https://www.artforness.com/produit/lab619-n7/"""
"""LAB619 N°8""","""Poids: 0.450 KG
Dimensions: 29.7 × 32 × 4 CM
Artiste: LAB619
Pays: TUNISIE / TUNISIA""","""Un numéro spécial qui traite d’un sujet d’actualité: la migration
Dans ce numéro 8, l’équipe s’est entouré d’artistes libanais, égyptiens ou encore Algériens pour traiter d’un sujet universel. .
Hijra , un numéro spécial du Lab619, incluant le travail de plusieurs artistes de bandes dessinées de la scène Nords Africaines et Moyennes Orientales puisqu’on compte parmi les participants Barrack Ryma du liban ou Migo d’Egypte .
Le numéro traîte d’un sujet brulant qu’est la migration.Il est d’autant plus important que de voir la vision des artistes des payons victimes d’exode.""","""15""","""LIVRES""","""BASIC"""," ""https://www.artforness.com/produit/lab619-n8/"""
